"","Commodity","Year","Metric.Tons"
"162","Oil, Cottonseed",2001,398000
"163","Oil, Olive",2001,1000
"164","Oil, Peanut",2001,104000
"165","Oil, Rapeseed",2001,287000
"166","Oil, Soybean",2001,8572000
"167","Oil, Sunflowerseed",2001,319000
"168","Orange Juice",2001,1020359
"169","Oranges, Fresh",2001,11290000
"170","Pears, Fresh",2001,931631
"171","Pecans, Inshell Basis",2001,153567
"172","Pistachios, Inshell Basis",2001,73240
"173","Potato Products, Frozen",2001,3749850
"174","Poultry, Meat, Turkey",2001,2490000
"175","Raisins",2001,378387
"176","Rice, Milled",2001,6714000
"177","Rye",2001,175000
"178","Sorghum",2001,13057000
"179","Strawberries, Fresh",2001,855294
"180","Sugar, Centrifugal",2001,7956000
"181","Tangerines/Mandarins, Fresh",2001,469000
"182","Walnuts, Inshell Basis",2001,276700
"183","Wheat",2001,53001000
"184","Almonds, Shelled Basis",2002,494416
"185","Apples, Fresh",2002,4605810
"186","Asparagus, Fresh",2002,83600
"187","Avocados, Fresh",2002,180849
"188","Barley",2002,4940000
"189","Coffee, Green",2002,9780
"190","Corn",2002,227767000
"191","Cotton",2002,3746818.16706
"192","Dairy, Milk, Fluid",2002,77140000
"193","Filberts, Inshell Basis",2002,17700
"194","Fresh Apricots",2002,81647
"195","Fresh Cherries,(Sweet&Sour)",2002,192320
"196","Fresh Peaches & Nectarines",2002,1519080
"197","Fresh Plums & Prunes",2002,667680
"198","Grapefruit, Fresh",2002,1872000
"199","Grapes, Fresh",2002,891164
"200","Honey",2002,77684.09135
"201","Kiwifruit",2002,22770
"202","Lemons/Limes, Fresh",2002,931000
"203","Macadamia, Inshell Basis",2002,24040
"204","Meat, Beef and Veal",2002,12427000
"205","Meat, Chicken",2002,14715000
"206","Meat, Swine",2002,8929000
"207","Oats",2002,1684000
"208","Oil, Cottonseed",2002,329000
"209","Oil, Olive",2002,1000
"210","Oil, Peanut",2002,130000
"211","Oil, Rapeseed",2002,243000
"212","Oil, Soybean",2002,8360000
"213","Oil, Sunflowerseed",2002,145000
"214","Orange Juice",2002,890045
"215","Oranges, Fresh",2002,10527000
"216","Pears, Fresh",2002,807413
"217","Pecans, Inshell Basis",2002,83721
"218","Pistachios, Inshell Basis",2002,137562
"219","Potato Products, Frozen",2002,3837591
"220","Poultry, Meat, Turkey",2002,2557000
"221","Raisins",2002,402246
"222","Rice, Milled",2002,6602000
"223","Rye",2002,165000
"224","Sorghum",2002,9163000
"225","Strawberries, Fresh",2002,977945
"226","Sugar, Centrifugal",2002,7167000
"227","Tangerines/Mandarins, Fresh",2002,443000
"228","Walnuts, Inshell Basis",2002,255825
"229","Wheat",2002,43705000
"230","Almonds, Shelled Basis",2003,471740
"231","Apples, Fresh",2003,4780600
"232","Asparagus, Fresh",2003,93530
"233","Avocados, Fresh",2003,211721
"234","Barley",2003,6059000
"235","Coffee, Green",2003,9780
"236","Corn",2003,256278000
"237","Cotton",2003,3974557.8267
"238","Dairy, Milk, Fluid",2003,77290000
"239","Filberts, Inshell Basis",2003,34400
"240","Fresh Apricots",2003,87090
"241","Fresh Cherries,(Sweet&Sour)",2003,325670
"242","Fresh Peaches & Nectarines",2003,1480070
"243","Fresh Plums & Prunes",2003,728460
"244","Grapefruit, Fresh",2003,1964000
"245","Grapes, Fresh",2003,730701
"246","Honey",2003,82268.52548
"247","Lemons/Limes, Fresh",2003,724000
"248","Macadamia, Inshell Basis",2003,24040
"249","Meat, Beef and Veal",2003,12039000
"250","Meat, Chicken",2003,14924000
"251","Meat, Swine",2003,9056000
"252","Oats",2003,2096000
"253","Oil, Cottonseed",2003,396000
"254","Oil, Olive",2003,2000
"255","Oil, Peanut",2003,79000
"256","Oil, Rapeseed",2003,291000
"257","Oil, Soybean",2003,7748000
"258","Oil, Sunflowerseed",2003,270000
"259","Orange Juice",2003,1043465
"260","Oranges, Fresh",2003,11734000
"261","Pears, Fresh",2003,847356
"262","Pecans, Inshell Basis",2003,127958
"263","Pistachios, Inshell Basis",2003,53970
"264","Potato Products, Frozen",2003,3751746
"265","Poultry, Meat, Turkey",2003,2529000
"266","Raisins",2003,319238
"267","Rice, Milled",2003,6420000
"268","Rye",2003,219000
"269","Sorghum",2003,10446000
"270","Strawberries, Fresh",2003,1004118
"271","Sugar, Centrifugal",2003,7644000
"272","Tangerines/Mandarins, Fresh",2003,419000
"273","Walnuts, Inshell Basis",2003,295741
"274","Wheat",2003,63814000
"275","Almonds, Shelled Basis",2004,462664
"276","Apples, Fresh",2004,5683040
"277","Asparagus, Fresh",2004,81830
"278","Avocados, Fresh",2004,162722
"279","Barley",2004,6091000
"280","Coffee, Green",2004,11160
"281","Corn",2004,299914000
"282","Cotton",2004,5062308.62934
"283","Dairy, Milk, Fluid",2004,77535000
"284","Filberts, Inshell Basis",2004,48502
"285","Fresh Apricots",2004,91620
"286","Fresh Cherries,(Sweet&Sour)",2004,353800
"287","Fresh Peaches & Nectarines",2004,1429814
"288","Fresh Plums & Prunes",2004,294460
"289","Grapefruit, Fresh",2004,924000
"290","Grapes, Fresh",2004,800663
"291","Honey",2004,82884.04711
"292","Lemons/Limes, Fresh",2004,789000
"293","Macadamia, Inshell Basis",2004,25628
"294","Meat, Beef and Veal",2004,11261000
"295","Meat, Chicken",2004,15514000
"296","Meat, Swine",2004,9313000
"297","Oats",2004,1679000
"298","Oil, Cottonseed",2004,434000
