Year,BarleyProd
1998,235884000
1999,361362000
2000,303700000
2001,376488000
2002,494416000
2003,458582000
2004,462664000
2005,4734966000
2006,5282724000
2007,5683040000
2008,5261960000
2009,5351610000
2010,4339653000
2011,4403565000
2012,4227346000
2013,920800000
2014,4227000000
2015,4178948000
2016,4226575000
2017,4323508000
2018,920793000
2019,857290000
2020,920793000
2021,4690101000
